p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora
DDX28	1.01720452044084e-08	1.56219013506209e-08	130	104.5	117.5	1.01720452509701e-09	28	1.19185891646007	1.17904295337426	1	45.0603167267215	148	67	98	28	128	121	114	130	130	81
PUS1	8.89383903833169e-09	1.4890047412377e-08	20	104.7	109.5	8.89383907392685e-10	16	1.2097735409161	-1.10649829794663	-1	46.7914957315207	143	63	91	19	117	147	158	191	16	102
G3BP2	4.6117454829516e-09	1.30756425717646e-08	195	105.1	90	4.61174549252228e-10	12	1.13465121865781	-0.975218500738939	-1	41.2959710493217	184	37	94	12	54	193	192	86	86	113
STAU1	4.44628023787813e-09	1.30756425717646e-08	80	105.2	96	4.44628024677436e-10	50	1.03481196925013	-1.02082978442969	-1	33.0406348138564	180	62	138	78	50	173	126	77	54	114
FUBP3	3.19143733394628e-08	3.85713591894121e-08	165	105.6	109	3.19143737978e-09	25	1.1817122649605	1.25466293359231	1	39.3643802027153	73	171	117	161	163	44	25	45	101	156
RAVER1	6.14237435049617e-09	1.30756425717646e-08	150	105.8	108.5	6.1423743674741e-10	16	1.09182392023129	-0.957480396389795	-1	37.7547410153914	149	39	114	16	90	163	178	181	25	103
DAZAP1	8.91891164802277e-09	1.4890047412377e-08	170	106.1	118	8.91891168381889e-10	13	1.69032870020997	1.76266592006361	1	86.2423757544262	167	154	13	147	118	118	83	168	78	15
SBDS	5.52733664384308e-08	6.1518944567067e-08	155	106.5	86	5.5273367813246e-09	31	1.20904679012951	1.31658924466277	1	38.9188720076319	31	151	79	93	177	63	69	72	175	155
SSRP1	1.56464041734938e-06	1.57262327662157e-06	130	106.6	124.5	1.56464151899531e-07	17	1.4787731847079	1.72797251371704	1	37.4866718156808	129	180	62	142	196	132	120	57	17	31
EIF4G1	4.62149723713013e-09	1.30756425717646e-08	145	107	102.5	4.62149724674133e-10	45	1.41281173773524	1.39727894811117	1	64.2960299043228	144	169	45	151	55	111	85	94	140	76
TROVE2	1.71515626369265e-08	2.3142861914209e-08	75	107.5	98.5	1.71515627693057e-09	30	0.949619020737415	0.883868235853101	1	23.5267109069974	93	30	168	75	146	74	62	104	152	171
LIN28B	3.10735763485946e-08	3.80217052215723e-08	75	108.1	94	3.10735767830998e-09	54	1.07761852172975	1.15247518845808	1	31.3406311268799	54	132	109	79	161	72	75	71	180	148
RBM25	3.09703361876034e-08	3.80217052215723e-08	185	108.2	86	3.09703366192262e-09	37	0.904615332914571	0.88429374674915	1	17.8768043439023	37	89	183	83	160	61	54	69	161	185
HNRNPM	2.93603250294104e-08	3.63772580553073e-08	120	108.4	122	2.93603254173233e-09	3	1.78478613898632	-1.70798237876382	-1	86.7348010267299	116	164	3	128	159	150	185	68	98	13
SNRNP200	5.99070837155386e-08	6.59312597316263e-08	50	108.9	118	5.9907085330525e-09	47	1.15241089998617	-1.13273378983397	-1	34.2717611845067	68	112	130	124	179	47	64	49	173	143
SRSF5	4.14078336673294e-08	4.798437195567e-08	65	109.3	90.5	4.14078344389033e-09	27	0.847778634758154	0.806308775137732	1	12.5548473425548	27	83	196	98	170	62	68	62	133	194
