	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
G3BP1	6.95741499884769e-23	1.87851852186319e-22	150	126.6	143.5	6.95741499884773e-24	50	0.774319407711178	-0.716785641348157	-1	24.190660219482
NUFIP2	6.31834923278793e-23	1.87851852186319e-22	175	127.3	158.0	6.31834923278792e-24	17	0.944051695625401	-0.683078686534202	-1	44.0166336136756
CSTF2	6.122740831222011e-23	1.87851852186319e-22	140	127.3	126.5	6.12274083122203e-24	43	0.933182809177059	-0.927526579791438	-1	42.7470681338403
DDX28	7.338143977564071e-23	1.87851852186319e-22	135	128.7	135.5	7.33814397756411e-24	67	0.717219803708924	-0.582343317556932	-1	17.5210085952737
DDX1	3.60515185771356e-22	4.08169491936536e-22	85	128.7	133.0	3.60515185771358e-23	50	0.785470186314647	-0.774779099325001	-1	24.0699116247349
SND1	7.32180336310796e-23	1.87851852186319e-22	195	129.0	141.5	7.32180336310796e-24	53	1.06973721959352	-0.9426593970622	-1	58.6976226278957
CPSF7	8.04056689106339e-23	1.87851852186319e-22	105	131.0	149.5	8.04056689106342e-24	14	1.04865715168031	-0.921532195561819	-1	56.2353164236319
LIN28B	5.33023057257827e-23	1.87851852186319e-22	185	131.1	131.0	5.3302305725782905e-24	23	0.790517571073011	-0.618720659128187	-1	26.0827242445
HNRNPM	9.79834885766157e-23	1.8937661523040598e-22	185	131.5	157.5	9.7983488576616e-24	16	1.03232763406559	-0.911531352123703	-1	54.3084234393698
RBM25	4.17234257836102e-22	4.64379371715887e-22	100	131.7	125.0	4.1723425783610304e-23	82	0.753961898139761	-0.752863162042257	-1	20.2194744706092
SF1	9.42462851224851e-23	1.8937661523040598e-22	195	132.4	143.0	9.42462851224853e-24	11	1.00045249514181	-0.909218583080672	-1	50.585775601531
LSM11	2.17596618476521e-22	2.80173423790031e-22	160	133.1	155.0	2.17596618476522e-23	52	0.87669053263367	-0.706841077874853	-1	35.3300591859981
FUBP3	7.53120836494532e-23	1.87851852186319e-22	185	134.1	135.0	7.53120836494535e-24	34	0.845950741200439	-0.739356844663953	-1	32.5577241965279
AARS	1.66007288487532e-22	2.2554093677271598e-22	150	135.1	146.0	1.66007288487532e-23	75	0.745535549412967	-0.670838753115684	-1	20.510200086882
DDX55	1.71153064147747e-20	1.7379976101601102e-20	105	135.1	130.0	1.71153064147747e-21	75	0.769595545544926	0.805825755835408	1	15.5033781753769
ZRANB2	3.49263285960016e-22	4.00028298454205e-22	135	135.8	136.5	3.49263285960016e-23	73	0.858968284302068	0.733939607727019	1	32.5622592958744
ESF1	6.61951634764479e-23	1.87851852186319e-22	165	136.2	161.5	6.61951634764479e-24	51	0.951080760100226	-0.977574568046512	-1	44.8376797857178
HNRNPK	6.55034463230671e-23	1.87851852186319e-22	180	136.2	142.5	6.55034463230675e-24	51	0.855050590417982	-0.839120971089646	-1	33.6206531813146
SMN1	1.16827107541478e-22	1.93127969761003e-22	155	136.5	138.5	1.16827107541478e-23	90	0.792588753432582	-0.834738303771887	-1	26.2733922674438
SF3B1	1.6131494910277e-22	2.23796091360886e-22	180	137.2	146.0	1.6131494910277102e-23	27	0.950446834193906	-0.806563447882128	-1	44.375089248995
RECQL	1.81903461245619e-22	2.40503233995885e-22	185	137.9	137.0	1.8190346124561902e-23	44	0.777846269318463	-0.699311850152163	-1	24.1538759070415
DNAJC21	1.41780317645382e-22	2.0749354730195599e-22	140	138.3	138.5	1.4178031764538302e-23	86	0.845198321067203	-0.760560998294089	-1	32.2735815698125
