	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
DDX52	0.0001117631164008	0.0001129094047741	195	155.7	176.5	1.11768737746086e-05	22	0.788664485425117	0.736708720883393	1	1.00558428249952
TIA1	1.38222258278922e-05	1.53840592547727e-05	195	155.8	173.5	1.38223118029119e-06	11	0.901579634659934	-0.800950624777916	-1	9.16557336906833
EIF2S2	1.9133954695894e-06	4.42755800056389e-06	180	158.3	177.0	1.9133971170784e-07	68	0.748007768928762	-0.702450788457773	-1	6.93933091933823
DDX6	1.36014230023394e-06	4.42755800056389e-06	185	158.7	179.0	1.36014313272884e-07	19	0.911608838568967	-1.02038733674718	-1	12.7682905455235
TRA2A	3.50475604782349e-05	3.59602573656889e-05	175	159.3	173.0	3.50481132396774e-06	40	0.805000718717154	-0.692749620568454	-1	4.09673537162567
PPIL4	1.25167099596819e-05	1.40101810344167e-05	165	162.0	167.0	1.25167804608535e-06	95	1.113361350379	-0.912905276312783	-1	16.2498410955738
DHX30	4.03953857498631e-06	5.56495873616996e-06	180	162.7	167.5	4.03954591804745e-07	119	0.941144889742467	-0.798623340647475	-1	13.1987122089938
RBFOX2	8.69334646014465e-06	9.95691425958427e-06	200	163.9	168.5	8.69338046875459e-07	76	0.870552080529168	0.921813613645773	1	9.26642180457091
CCAR1	4.5012655841946e-06	5.99154946004282e-06	185	164.4	170.0	4.50127470184693e-07	120	0.800488603715046	-0.925681928342505	-1	8.10932217842704
IGF2BP2	2.51997759882636e-06	4.42755800056389e-06	165	166.5	170.5	2.51998045646011e-07	96	0.764113301273741	-0.833341883526833	-1	7.51315661622128
PHF6	3.35466827902948e-05	3.4600505286325e-05	140	167.8	165.5	3.35471892220214e-06	138	0.66398148122855	0.724993799742238	1	0.0
SUB1	1.6030918826057e-06	4.42755800056389e-06	195	169.9	188.5	1.60309303906348e-07	45	0.697944655002048	-0.691597956617828	-1	5.15562699563102
