NGenes	PropDown	PropUp	Direction	p.value	p.adj	PValue.Mixed	FDR.Mixed	avg.logfc	avg.logfc.dir	direction	significance
HNRNPK	194	0.201030927835052	0.469072164948454	Up	0.299	0.470436	0.021	0.0217123655913978	0.831324214178693	0.894582770427324	1	13.7461900925461
METAP2	192	0.390625	0.171875	Down	0.299	0.470436	0.014	0.0150254237288136	0.772008706031431	-0.767860325885209	-1	12.7289688542957
APOBEC3C	183	0.284153005464481	0.344262295081967	Up	0.302	0.471392857142857	0.002	0.00399324324324324	1.11144595021118	1.0678349963424	1	18.4987314977117
CCAR1	190	0.384210526315789	0.142105263157895	Down	0.31	0.47787890625	0.03	0.0302682291666667	0.62803031843074	-0.638376305138343	-1	10.0356386284362
LSM11	184	0.315217391304348	0.201086956521739	Down	0.311	0.47787890625	0.004	0.00574583333333333	0.976633804207272	-1.03745447657563	-1	15.8895087704127
DHX30	197	0.355329949238579	0.223350253807107	Down	0.322	0.490972868217054	0.002	0.00399324324324324	0.699694298692691	0.775123713236514	1	10.8089152598148
UPF1	186	0.408602150537634	0.236559139784946	Down	0.326	0.493257692307692	0.002	0.00399324324324324	0.747598480327433	-0.771745335970058	-1	11.5049540723522
SART3	187	0.27807486631016	0.219251336898396	Down	0.333	0.500019083969466	0.005	0.00661567164179104	1.02990759498982	0.899043102085019	1	15.7233558300832
DDX1	181	0.325966850828729	0.204419889502762	Down	0.337	0.502200757575758	0.004	0.00574583333333333	0.71514224303665	-0.68797498307837	-1	10.6910911786969
SMN1	179	0.346368715083799	0.23463687150838	Down	0.35	0.517680451127819	0.003	0.00487623762376238	0.819809864099012	-0.742604934306246	-1	11.7645495256712
DDX6	187	0.352941176470588	0.213903743315508	Down	0.363	0.532929104477612	0.001	0.0023452380952381	0.987273694328131	-1.09562831169538	-1	13.6201933049494
QKI	196	0.38265306122449	0.209183673469388	Down	0.368	0.533783088235294	0.011	0.0121676470588235	0.679428467496549	-0.685574844022561	-1	9.18932449067555
BCLAF1	192	0.369791666666667	0.208333333333333	Down	0.369	0.533783088235294	0.002	0.00399324324324324	0.725416224598945	-0.740652458826872	-1	9.84586378938477
NONO	196	0.38265306122449	0.198979591836735	Down	0.372	0.534200729927007	0.006	0.00732094594594595	0.826811221913911	-0.798889413545951	-1	11.2787125665657
SUPT6H	192	0.369791666666667	0.223958333333333	Down	0.378	0.536435251798561	0.001	0.0023452380952381	0.930977303371572	-1.02352929355459	-1	12.6755999390232
AKAP8L	194	0.360824742268041	0.242268041237113	Down	0.379	0.536435251798561	0.007	0.00836928104575164	0.637360259102656	-0.652337264592014	-1	8.51690248223108
SRP68	192	0.364583333333333	0.208333333333333	Down	0.385	0.538606382978723	0.002	0.00399324324324324	0.584653973978186	-0.623069324002839	-1	7.71668303670779
SF3A3	197	0.319796954314721	0.238578680203046	Down	0.386	0.538606382978723	0.009	0.010465625	0.809438409561979	-0.799383383934953	-1	10.8798095202329
SF3B4	189	0.407407407407407	0.216931216931217	Down	0.401	0.543099315068493	0.005	0.00661567164179104	0.76460532548244	-0.756035930522276	-1	10.1044783864316
HSPD1	189	0.285714285714286	0.26984126984127	Down	0.403	0.543099315068493	0.001	0.0023452380952381	0.854971940517671	-0.867472153342043	-1	11.3590293636314
CSTF2T	195	0.384615384615385	0.21025641025641	Down	0.403	0.543099315068493	0.008	0.00929245283018868	1.04577346784748	-0.848328012341428	-1	14.0079085151798
DDX55	192	0.213541666666667	0.359375	Up	0.392	0.543099315068493	0.003	0.00487623762376238	1.06121619235308	1.08546114835841	1	14.2222983660287
SRSF5	194	0.391752577319588	0.185567010309278	Down	0.403	0.543099315068493	0.003	0.00487623762376238	0.831211653717027	-0.810913901866744	-1	11.0291675998298
NPM1	188	0.24468085106383	0.271276595744681	Up	0.416	0.556826530612245	0.011	0.0121676470588235	0.83467674878875	-0.941436484860638	-1	10.6034559983464
PCBP1	196	0.352040816326531	0.26530612244898	Down	0.427	0.567706081081081	0.002	0.00399324324324324	0.899889659493789	-1.18760671714521	-1	11.0757837679367
PKM	186	0.327956989247312	0.279569892473118	Up	0.431	0.569184563758389	0.008	0.00929245283018868	0.762102645579322	0.726355509114318	1	9.25667252812145
EIF3G	192	0.401041666666667	0.317708333333333	Down	0.434	0.56933	0.002	0.00399324324324324	0.981116570459349	-0.889961672886871	-1	12.0578627551451
KRR1	191	0.31413612565445	0.319371727748691	Up	0.438	0.570778145695364	0.003	0.00487623762376238	1.00913242284585	-1.0999151139775	-1	12.3584525993791
SRSF1	194	0.309278350515464	0.360824742268041	Up	0.445	0.576095394736842	0.001	0.0023452380952381	0.793221670015017	0.74438893522309	1	9.43778963367322
KHDRBS1	192	0.322916666666667	0.239583333333333	Down	0.454	0.583918300653595	0.002	0.00399324324324324	0.879533654465847	-1.11036244090521	-1	10.2504950742581
