NGenes	PropDown	PropUp	Direction	p.value	p.adj	PValue.Mixed	FDR.Mixed	avg.logfc	avg.logfc.dir	direction	significance
CELF1	189	0.343915343915344	0.296296296296296	Down	0.151	0.511181034482759	0.018	0.0265192307692308	0.728491728442898	-0.556695059795473	-1	67.9230345511276
RPS3A	183	0.39344262295082	0.202185792349727	Down	0.141	0.511181034482759	0.035	0.0397456140350877	0.79957556401886	-0.733671428890513	-1	74.655561383364
EIF4A3	188	0.340425531914894	0.292553191489362	Down	0.149	0.511181034482759	0.001	0.0197	0.73782576592445	-0.624100982666956	-1	68.8070844520435
XRCC5	190	0.226315789473684	0.373684210526316	Up	0.154	0.512533898305085	0.018	0.0265192307692308	0.649932840314763	0.697203930151473	1	60.2400680080518
NOL12	196	0.331632653061224	0.331632653061224	Down	0.16	0.523691666666667	0.006	0.0230531914893617	0.870538834144789	-0.744609538373549	-1	78.4057148370847
EIF4G2	182	0.247252747252747	0.384615384615385	Up	0.226	0.550615	0.004	0.0229833333333333	0.714756977600263	-0.672511342794755	-1	59.1252791198028
PABPC4	195	0.164102564102564	0.466666666666667	Up	0.278	0.550615	0.028	0.0336490683229814	0.557894148265122	-0.570734478758795	-1	45.9137045553608
HNRNPU	195	0.215384615384615	0.379487179487179	Up	0.245	0.550615	0.006	0.0230531914893617	0.738330025943976	0.772459176102103	1	61.1106894762536
HNRNPA1	183	0.213114754098361	0.316939890710383	Up	0.28	0.550615	0.003	0.0229833333333333	0.799036303454242	0.839099579880328	1	66.2235993686478
TROVE2	195	0.184615384615385	0.425641025641026	Up	0.238	0.550615	0.012	0.0238473684210526	0.805033307669311	0.89502132546566	1	66.728689508144
SRSF1	194	0.27319587628866	0.329896907216495	Up	0.264	0.550615	0.008	0.0232569444444444	0.721499519036253	0.673353287182991	1	59.6931611943068
TBRG4	190	0.242105263157895	0.342105263157895	Up	0.275	0.550615	0.013	0.0239594594594595	0.708189222484312	0.803235190900572	1	58.572118203331
SUCLG1	192	0.213541666666667	0.40625	Up	0.192	0.550615	0.014	0.0239594594594595	0.758688543797138	0.819968742027696	1	62.8253600440265
CNOT7	192	0.182291666666667	0.453125	Up	0.246	0.550615	0.016	0.0252355371900826	0.817035436905689	0.985670112747843	1	67.739553751831
PUM2	187	0.240641711229947	0.374331550802139	Up	0.257	0.550615	0.002	0.0229833333333333	0.688606253193867	0.692110850806115	1	56.9227672380929
TARDBP	193	0.181347150259067	0.455958549222798	Up	0.231	0.550615	0.029	0.0340272727272727	0.654701266932426	0.670784779713296	1	54.0671624017019
EIF3G	192	0.276041666666667	0.463541666666667	Up	0.232	0.550615	0.004	0.0229833333333333	0.712632281550375	0.779809078119007	1	58.946329266553
DDX28	189	0.195767195767196	0.433862433862434	Up	0.18	0.550615	0.015	0.024625	0.619043377259879	0.6942610112838	1	51.0639214795776
SBDS	187	0.117647058823529	0.438502673796791	Up	0.28	0.550615	0.054	0.0575928961748634	0.877602640358365	0.888370132782925	1	72.8407503065936
CPSF7	176	0.352272727272727	0.261363636363636	Down	0.254	0.550615	0.009	0.0232569444444444	1.0511773554668	-0.940950826854694	-1	87.4598624370873
G3BP2	194	0.45360824742268	0.211340206185567	Down	0.251	0.550615	0.022	0.0284261744966443	0.625815315790046	-0.667177136608029	-1	51.6342794873754
AGO1	182	0.175824175824176	0.274725274725275	Up	0.279	0.550615	0.02	0.0274392857142857	0.892023519128829	0.838406463411976	1	74.0553306884999
TRIM56	195	0.117948717948718	0.425641025641026	Up	0.213	0.550615	0.021	0.0280451388888889	0.890773331502122	0.907415729131355	1	73.9500352076024
RECQL	195	0.133333333333333	0.466666666666667	Up	0.249	0.550615	0.063	0.0651455026455026	0.594245779421125	0.64339604718622	1	48.975374981632
PHF6	190	0.226315789473684	0.336842105263158	Up	0.247	0.550615	0.052	0.0557445054945055	0.687162968344926	0.711791407964619	1	56.8012083864496
U2AF1	182	0.175824175824176	0.406593406593407	Up	0.222	0.550615	0.009	0.0232569444444444	0.734142740236558	0.776280558900252	1	60.758020602559
FKBP4	197	0.512690355329949	0.17258883248731	Down	0.184	0.550615	0.046	0.0497972222222222	0.917257454816895	-0.907033790482904	-1	76.1806271931609
CPSF6	196	0.147959183673469	0.408163265306122	Up	0.22	0.550615	0.032	0.0365029411764706	0.632310600883274	0.68234030151674	1	52.1813367073058
EIF2S1	198	0.186868686868687	0.454545454545455	Up	0.274	0.550615	0.027	0.0330411392405063	0.665680267340336	0.714894421648444	1	54.9918549062738
