NGenes	Direction	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
CSTF2	183	Down	0.401483993920558	0.470787778585416	0.703543185689044	-0.759368507686799	-1	2.35596220201488
CPSF7	176	Down	0.418934547760683	0.488343821945885	1.02294132633314	-1.07259255341665	-1	3.30318386687344
PSIP1	187	Down	0.435595508851126	0.504778324962775	0.667349240584593	-0.692179673383347	-1	2.01193559092881
DNAJC2	187	Down	0.45255343829584	0.521362733007489	1.00762071587722	-1.15549252661595	-1	2.9446253778668
LSM11	184	Down	0.469515292261339	0.537758794043511	0.699977067388084	-0.896210960307384	-1	1.90938096880552
NAA15	194	Up	0.473395919131928	0.539069341439247	0.664544053500127	0.706419287758992	1	1.79935853876669
SUGP2	189	Up	0.523212647176625	0.590491488583856	0.883193812509819	0.720454051765923	1	2.05409523239474
PCBP1	196	Down	0.524548276660785	0.590491488583856	0.708298618986851	-0.83988118975374	-1	1.62453410823639
KHSRP	195	Down	0.560331510086239	0.627189247085165	0.705813675905639	-0.794661452936037	-1	1.42002291284472
SMN1	179	Down	0.583153873503865	0.645400635282368	0.578402195790375	-0.60251042406942	-1	1.06571562385992
IGF2BP2	193	Down	0.581266286334232	0.645400635282368	0.515683508252069	-0.526548090696452	-1	0.937672183208781
CCAR2	178	Down	0.644401026338539	0.709201129545767	0.867081711044383	-0.945466168750753	-1	1.27398187202094
PKM	186	Down	0.653879121796825	0.715634372188748	0.646818912098967	-0.681318186181875	-1	0.893878718956246
AGO1	182	Down	0.665524188974008	0.724355056507622	0.86746668075314	-0.84081047364582	-1	1.18908982734446
HNRNPUL1	184	Down	0.674944077379565	0.725310467443668	0.750157276854783	-0.642940892878048	-1	1.00810832799335
ILF2	190	Down	0.677447340150431	0.725310467443668	0.883754470383892	-1.10435823612164	-1	1.20814699912657
PPIL4	193	Down	0.676670778893059	0.725310467443668	0.712406609200388	-0.770874412011993	-1	0.951583237963432
GTF2F1	184	Up	0.699827255586229	0.745221455948579	0.863616126440009	0.894400197323863	1	1.06895053182965
RBFOX2	183	Down	0.743237931840773	0.787192863293722	0.722012577658095	-0.780082674013206	-1	0.690360095617919
DDX55	192	Up	0.799052666032833	0.841782755125498	0.716702046915425	0.572677185341069	1	0.460393223011975
ESF1	187	Up	0.836100711963765	0.871462231866949	0.763810194686252	0.724797878129909	1	0.374826490859161
ADAR	174	Down	0.835356816360713	0.871462231866949	0.994853663154102	-1.01507052223493	-1	0.52303016478458
PES1	194	Down	0.840496568805687	0.871462231866949	0.597659172178927	-0.66985709900005	-1	0.26824831262567
KRR1	191	Up	0.872121410379658	0.899517894475354	0.770830121295382	0.656443608818291	1	0.265453204828837
KHDRBS1	192	Down	0.913423663177577	0.937210737739493	0.573903440429338	0.434329698690243	1	0.05839016248184
SND1	195	Down	0.935212537715143	0.949674587267439	0.957530680925678	-1.07470318185416	-1	0.115396100538389
PA2G4	193	Down	0.932384614976485	0.949674587267439	0.716838858209941	-0.774339620346792	-1	0.0574513218492068
FUBP3	187	Up	0.945577746916351	0.950402123176128	0.692243896433105	0.547213211422101	1	0.0490586917919363
FASTKD2	190	Up	0.940951541776941	0.950402123176128	0.677103419125707	0.443699258083484	1	0.0454677909770791
NUFIP2	182	Up	0.973565099627469	0.973565099627469	0.921671441653272	-0.887572958798707	-1	0
