NGenes	Direction	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
PPIL4	193	Down	0.759385291164987	0.813037512823382	0.997190727999108	1.07935587022499	1	1.08531544522059
IGF2BP2	193	Down	0.765022218241431	0.814645281046281	0.699396784589791	-0.864414355890002	-1	0.686567156247826
AUH	191	Down	0.776893783277506	0.822839114546606	0.722873911416015	-0.744908553487133	-1	0.671244586340692
CIRBP	197	Up	0.817286102419223	0.860991241586026	0.618728233132071	0.685218554622805	1	0.365305432054244
PKM	186	Up	0.822768449387712	0.862156300688187	0.762102645579322	0.726355509114318	1	0.494565971767415
PUM1	192	Up	0.843736856069258	0.879450585426687	0.959694528897746	-1.14261299584072	-1	0.559399057307252
KRR1	191	Up	0.851129705715532	0.882487115926104	1.00913242284585	-1.0999151139775	-1	0.57757410841821
DDX52	193	Down	0.88709062945137	0.914957350795392	0.929412169295493	-0.899020787001157	-1	0.302021077832561
LARP4	189	Down	0.893042495687383	0.916298810679242	0.868367277313459	-0.972639898816282	-1	0.259641144367873
STAU1	194	Up	0.916630639180937	0.935628165381578	0.823971420210634	-0.869387522796844	-1	0.12624724329878
PABPC1	180	Up	0.924656484430261	0.938955296045162	1.02715207314915	1.00876664828008	1	0.188718122929878
EIF4G1	188	Up	0.945884464647117	0.955585843771702	1.05126625347903	-0.833131728976983	-1	0.0815438140084076
GTF2F1	184	Up	0.95299676654383	0.957858994944564	1.38766130368136	-0.743491794917748	-1	0.157382483758638
DDX19B	193	Down	0.965961810071573	0.965961810071573	1.00697387446144	0.835945629920086	1	0
